id,latitude,longitude
245654615,18.9444346,72.8342569
245654715,18.9461914,72.8290963
245654765,18.9455795,72.8220137
245654845,18.9478253,72.7972861
245654862,18.949887,72.7954434
245654875,18.9488753,72.798356
245654907,18.9487739,72.8324141
245654949,18.9504912,72.795844
245654990,18.9491148,72.8000491
245655046,18.9506249,72.8202731
245655093,18.9521864,72.7969624
245655121,18.9522312,72.7966859
245655133,18.9517959,72.8227666
245655166,18.9524354,72.8023174
245655201,18.952452,72.8322627
245655214,18.952835,72.8174525
245655223,18.9524108,72.829762
245655226,18.9525958,72.8024792
245655230,18.9529382,72.8340943
245655253,18.9528756,72.8160857
245655288,18.9525356,72.8048095
245655296,18.9533222,72.8368936
245655305,18.9534417,72.8309195
245655329,18.9549559,72.7985305
245655336,18.9536509,72.8265784
245655339,18.9539751,72.8316542
245655412,18.9545167,72.8320596
245655580,18.9557585,72.8160315
245655702,18.9567557,72.8156243
245655710,18.9556745,72.8124464
245655733,18.9567917,72.8289378
245655752,18.9560003,72.8101009
245655758,18.9571181,72.8165781
245655771,18.9561362,72.8101014
245655778,18.9573515,72.8196988
245655800,18.956499,72.8101365
245655857,18.9569651,72.8320788
245655876,18.9581141,72.8108785
245655878,18.9582575,72.8198229
245655908,18.9572837,72.842675
245655919,18.958178,72.8257647
245655932,18.9581654,72.8262992
245655939,18.958143,72.8285475
245655956,18.9580967,72.8313932
245655959,18.9578846,72.8431613
245656009,18.9583355,72.8381939
245656020,18.9583243,72.8363958
245656042,18.9588794,72.8151807
245656062,18.9590811,72.8100009
245656132,18.9594639,72.8461369
245656173,18.9600451,72.8438487
245656188,18.9594482,72.8365839
245656228,18.9600382,72.8436778
245656236,18.9602543,72.8093228
245656245,18.9601312,72.8432445
245656280,18.9602849,72.8159434
245656283,18.960765,72.8199231
245656354,18.9605326,72.84589
245656387,18.9619578,72.8175706
245656408,18.9619386,72.8199525
245656411,18.9617565,72.8230513
245656412,18.9618041,72.824446
245656414,18.9617456,72.8285702
245656434,18.961885,72.8318534
245656521,18.9621401,72.8343885
245656594,18.962563,72.8374167
245656627,18.9638065,72.8182871
245656633,18.9635458,72.8440048
245656677,18.9680779,72.8246308
245656730,18.964683,72.8043461
245656894,18.9658338,72.8190638
245656961,18.966369,72.8250747
245656964,18.9656253,72.8323878
245657049,18.967067,72.8287484
245657056,18.9673524,72.8460429
245657095,18.9676275,72.8264423
245657099,18.9675964,72.8448414
245657105,18.9679417,72.8251992
245657123,18.967272,72.8034107
245657186,18.968778,72.8207159
245657229,18.9687194,72.8407148
245657245,18.9692408,72.8154416
245657282,18.9697735,72.8454054
245657292,18.9697283,72.8461693
245657418,18.9713271,72.8322813
245657468,18.9720669,72.8451557
245657498,18.972357,72.8464108
245657519,18.9719442,72.8218675
245657543,18.9726689,72.8277755
245657576,18.9727925,72.8324928
245657649,18.9739771,72.8265641
245657650,18.974006,72.82762
245657656,18.9742992,72.8320527
245657727,18.975383,72.8107853
245657747,18.9754633,72.8337127
245657786,18.9757886,72.8486205
245657811,18.9759726,72.8273639
245657814,18.9762281,72.8413648
245657817,18.9761866,72.8456486
245657831,18.9760861,72.846312
245657844,18.9762255,72.8405145
245657868,18.9780103,72.8466098
245658027,18.9785633,72.8475324
245658099,18.9786052,72.8453698
245658111,18.9791722,72.8338778
245658183,18.9806439,72.8267945
245658184,18.9807145,72.827013
245658185,18.98054,72.8343741
245658193,18.9802645,72.8407765
245658202,18.9804294,72.8366318
245658213,18.9808785,72.8431219
245658276,18.981399,72.8268848
245658309,18.9816605,72.8347255
245658338,18.9824892,72.8237987
245658354,18.9832186,72.8409138
245658362,18.983217,72.8425362
245658378,18.9839822,72.8353865
245658402,18.9843405,72.8409672
245658407,18.9844005,72.8364828
245658427,18.9853224,72.8421058
245658430,18.9853719,72.8413618
245658448,18.9855867,72.8378365
245658494,18.9869682,72.8416675
245658517,18.9880649,72.8413389
245658533,18.9880953,72.840382
245658557,18.9884696,72.8359055
245658682,18.9887963,72.8457883
245658701,18.9908245,72.8357442
245658797,18.9921367,72.8208489
245658865,18.9936513,72.8146566
245658898,18.995139,72.8538891
245658939,18.9949849,72.8385982
245658976,18.9954109,72.8365443
245659166,18.9976522,72.8374053
245659173,19.000099,72.8553463
245659198,18.9982012,72.8273935
245659219,18.9984942,72.8503305
245659330,19.0001986,72.8547814
245659355,19.0004742,72.8530457
245659363,19.0005127,72.8537178
245659483,19.0012966,72.8156582
245659488,19.0018632,72.8602464
245659597,19.0024517,72.8141159
245659680,19.0048331,72.8539461
245659720,19.0046216,72.8219492
245659749,19.0051922,72.8209318
245659759,19.0054639,72.8396166
245659769,19.0050925,72.8309253
245659811,19.0063043,72.830884
245659828,19.0063566,72.8379699
245659852,19.0063341,72.8235918
245659862,19.006213,72.8215129
245659891,19.0062659,72.8182504
245660022,19.0085434,72.8608733
245660062,19.0087927,72.8307717
245660066,19.0093083,72.8332775
245660069,19.0095545,72.8418546
245660083,19.0092568,72.8306494
245660124,19.0095344,72.8330317
245660192,19.0111453,72.8319758
245660304,19.0119983,72.8219163
245660316,19.0126874,72.8492446
245660329,19.0128856,72.8239256
